Ex Num,Type,Text,Output,Original Text,Option A,Option B,Option C,Target
25.0,Base,"Most Liberals were opposed to the Labour Party let alone to the Communists, but there was an important radical wing of the Party which was attracted by the Peoples Front idea. Most Liberals were more opposed to the Labour Party in the fall than they were in the spring. When were most liberals most likely to be opposed to the Communists, in the spring or in the fall?",fall,,spring,fall,not enough info,B
21.0,Base,"Largely preoccupied by a sense of not being able to win, they have little sense of commitment to themselves, let alone to a person of the opposite sex. They have less commitment to themselves in March than they do in August. When are they more likely to have a commitment to a person of the opposite sex, in March or in August?",August,,March,August,not enough info,B
7.0,Recency Bias,"I would be more distressed to hear of any ladies reading it in the morning than I would be to hear of any ladies reading it at night. I would be distressed to hear of any ladies reading it, let alone a girl of your tender years and experience. How distressed would I likely be to hear of a girl of your tender years and experience reading it in the morning, compared to hearing of a girl of your tender years and experience reading it at night?",more distressed,,more distressed,less distressed,not enough info,A
21.0,Recency Bias,"They have less commitment to themselves in March than they do in August. Largely preoccupied by a sense of not being able to win, they have little sense of commitment to themselves, let alone to a person of the opposite sex. When are they more likely to have a commitment to a person of the opposite sex, in March or in August?",August,,March,August,not enough info,B
2.0,Vocabulary Bias,"None of these arguments is notably flawed, let alone conclusive. The first argument is flawed. The second argument is even more flawed. Which is more likely to be conclusive, the first argument or the second argument?",second?,,first argument,second argument,not enough info,B
16.0,Vocabulary Bias,"Which leads one to ask what becomes of the great sinner let alone the sinner. One is more likely to ask what becomes of the great sinner at night than they are in the morning. When is one more likely to ask what becomes of the sinner, at night or in the morning?",at night,,at night,in the morning,not enough info,A
16.0,Name Bias,"Which leads one to ask what becomes of the sinner let alone the great sinner. One is more likely to ask what becomes of the sinner in the morning than they are at night. When is one more likely to ask what becomes of the great sinner, at night or in the morning?",in the morning,,at night,in the morning,not enough info,B
10.0,Name Bias,"How many modern Prime Ministers could recall such exploits in their past, let alone dare to boast about them? The Prime Minister of Malta is more likely to recall such exploits than the Prime Minister of Portugal. How likely is the Prime Minister of Malta to boast about these exploits, compared to the Prime Minister of Portugal?",more likely,,more likely,less likely,not enough info,A
22.0,Short Calibration,"A single scent is less likely to take a woman from gym to office in the summer than it is in the winter. When is a scent more likely to take a woman from dawn till dusk, in the summer or in the winter?",?,,summer,winter,not enough info,C
2.0,Short Calibration,"The first argument is weak. The second argument is even weaker. Which is more likely to be conclusive, the first argument or the second argument?",?,,first argument,second argument,not enough info,C
18.0,Name Calibration,"Emigration to Australia or New Zealand, let alone the United States, which had its own extreme problems of crime and racial violence, was little more than a trickle. Emigration to Australia was more of a trickle in the summer than it was in the winter. When was emigration to the United States likely to be more of a trickle, in the fall or in the spring?",?,,in the fall,in the spring,not enough info,C
9.0,Name Calibration,"There must have been text books around at one time but I can not even identify any titles let alone suppliers. I can identify fewer titles of the red books than I can of the blue books. How likely am I to identify the suppliers of the green books, compared to the yellow books?",?,,more likely,less likely,not enough info,C
21.0,Adjective Calibration,"Largely preoccupied by a sense of not being able to win, they have little sense of commitment to themselves, let alone to a person of the opposite sex. They have less fun in March than they do in August. When are they more likely to have a commitment to a person of the opposite sex, in March or in August?",?,,March,August,not enough info,C
24.0,Adjective Calibration,"It is not easy to know how far Kafka's fictions can be thought to answer descriptively to the historical realities of his time, let alone to those which his fictions are often thought to have predicted. Kafka's earlier work is more positive to the historical realities of his time than Kafka's later work is. Which is more likely to be thought to answer descriptively to the historical realities which his fictions are often thought to have predicted, Kafka's earlier work or Kafka's later work?",?,,Kafka's earlier work,Kafka's later work,not enough info,C
23.0,Nonce Calibration,"Here relationships between the local inhabitants and party members and agents will be examined without reference to Kursk, let alone to Moscow. Relationships are more likely to be examined knurgily in the evening than they are in the morning. When are relationships more likely to be examined without reference to Moscow, in the morning or in the evening?",?,,morning,evening,not enough info,C
14.0,Nonce Calibration,"Most wives are too bloody old, let alone mothers. More wives from North Dakota are knurgy than wives from South Dakota. Where are there likely to be more mothers that are too old, North Dakota or South Dakota?",?,,North Dakota,South Dakota,not enough info,C
